Processing 81 genes...
  chr1 +: 4 gene(s)
  chr1 -: 3 gene(s)
  chr10 +: 4 gene(s)
  chr10 -: 3 gene(s)
  chr11 +: 2 gene(s)
  chr11 -: 4 gene(s)
  chr12 +: 2 gene(s)
  chr12 -: 1 gene(s)
  chr13 +: 4 gene(s)
  chr14 -: 2 gene(s)
  chr15 +: 2 gene(s)
  chr15 -: 1 gene(s)
  chr16 -: 2 gene(s)
  chr17 +: 4 gene(s)
  chr17 -: 1 gene(s)
  chr18 +: 4 gene(s)
  chr19 +: 2 gene(s)
  chr2 +: 2 gene(s)
  chr2 -: 1 gene(s)
  chr20 +: 2 gene(s)
  chr21 -: 3 gene(s)
  chr22 +: 1 gene(s)
  chr3 +: 3 gene(s)
  chr3 -: 3 gene(s)
  chr4 +: 3 gene(s)
  chr4 -: 1 gene(s)
  chr5 +: 4 gene(s)
  chr6 +: 1 gene(s)
  chr6 -: 1 gene(s)
  chr7 +: 2 gene(s)
  chr7 -: 3 gene(s)
  chr8 +: 1 gene(s)
  chr8 -: 1 gene(s)
  chr9 -: 2 gene(s)
  chrX +: 1 gene(s)
  chrX -: 1 gene(s)
Saved 81 genes to gene_coverages.pkl
